,mean_abundance,median_abundance,sum_abundance,max_abundance,nonzero_spots
Keratinocytes,1.51367999738084,0.5820291,2559.632875571,18.399881,1691
Schwann cell,0.9265435022155529,0.39078796,1566.7850622465,10.369192,1691
Mast cell,0.526139661568894,0.20260143,889.7021677129999,6.4850707,1691
B cell,0.451461703676641,0.12731296,763.4217409171999,6.4213367,1691
Fibroblast,0.4337029433536369,0.1380686,733.391677211,5.0992303,1691
Melanocyte,0.39556493308326435,0.13798103,668.9003018438,5.8317246,1691
DC,0.3462810569162626,0.09838126,585.5612672454,4.901476,1691
Lymphatic endothelium,0.30832276093128325,0.0931197,521.3737887348,4.1706495,1691
Macrophage,0.2927042057755174,0.08637719,494.96281196639995,3.358092,1691
Vascular endothelium,0.25462408149538734,0.07005007,430.5693218087,2.9691143,1691
Mural cell,0.2314142334323477,0.06920842,391.3214687341,2.9274337,1691
ILC,0.2055836139325251,0.06580074,347.64189115989996,2.9438586,1691
T cell,0.20519726633069185,0.06399616,346.98857736519994,3.4583914,1691
