celltype,"Spearman
Abs","Pearson
Abs","Spearman
Relative","Pearson
Relative"
Fibroblast,0.5214479963217549,0.3998973649608121,0.292507117980093,0.237040473114261
Macrophage,0.3455926193200967,0.2588470458858673,0.2491090823097913,0.1654541429195938
Mural cell,0.3585482213275573,0.2653443748820407,0.22159433891863,0.1560523620729245
B cell,0.3920357420837334,0.2623103852777523,0.180044199870469,0.0568475431022895
Vascular endothelium,0.1928238733167019,0.1144557473610864,0.1548225483819443,0.1829983187918034
Keratinocytes,0.6510351633041055,0.584194206969481,0.1507533334211478,0.1319213581053566
T cell,0.1739513199943463,0.1021093697397159,0.1088472758245895,0.1950643966244539
DC,0.1864093345521712,0.1270137397934994,0.0948530613938728,0.0312631016859824
Lymphatic endothelium,0.1072504973715703,0.0511888439003583,0.0767539780981739,0.1009298203859911
Melanocyte,0.1043927055941013,0.1253668591618594,0.0592584077684964,0.0198178080048129
Mast cell,0.0284039405330127,0.0110660871025349,0.025962198276666,0.0130103233239145
Schwann cell,0.3093383615329486,0.2240647157072244,-0.0749197673457974,-0.00041042379731
